,abs_bas,abs_eos,abs_lym,abs_mono,abs_neut,age,hgb,plt,wbc,gender_female,apc_positive,asxl1_positive,bcor_positive,bcorl1_positive,c7orf55_positive,cbl_positive,ccdc42b_positive,cdh23_positive,cebpa_positive,cftr_positive,csf1r_positive,cux1_positive,ddx41_positive,ddx54_positive,dhx29_positive,dnmt3a_positive,eed_positive,erbb4_positive,etv6_positive,ezh2_positive,flt3_positive,gata2_positive,gli1_positive,gnb1_positive,gpr98_positive,idh1_positive,idh2_positive,irf4_positive,jak2_positive,jak3_positive,kdm6a_positive,kit_positive,kras_positive,mecom_positive,med12_positive,mll_positive,nf1_positive,npm1_positive,nras_positive,phf6_positive,prpf8_positive,ptch1_positive,ptpn11_positive,rad21_positive,rnf25_positive,runx1_positive,setbp1_positive,sf3b1_positive,simc1_positive,smc3_positive,srsf2_positive,stag2_positive,stat3_positive,suz12_positive,tet2_positive,tp53_positive,u2af1_positive,u2af2_positive,wt1_positive,zrsr2_positive,mutation_num,diagnosis
count,1381.0,1382.0,1384.0,1383.0,1387.0,1636.0,1632.0,1631.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mds
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306
mean,0.02425943519188991,0.15518623010130267,1.1709080563583787,0.33880180043383895,1.0162467090483096,68.78930317848442,10.38583333333331,67.43268638871857,2.2688287958435267,0.39364303178484106,0.009168704156479218,0.18092909535452323,0.03973105134474328,0.017726161369193152,0.004278728606356968,0.034229828850855744,0.0006112469437652812,0.0018337408312958435,0.008557457212713936,0.0012224938875305623,0.0012224938875305623,0.009168704156479218,0.006112469437652812,0.007334963325183374,0.005501222493887531,0.10941320293398533,0.0024449877750611247,0.003056234718826406,0.023227383863080684,0.037897310513447434,0.008557457212713936,0.008557457212713936,0.0006112469437652812,0.0024449877750611247,0.01589242053789731,0.02444987775061125,0.03117359413202934,0.0006112469437652812,0.019559902200488997,0.0006112469437652812,0.012224938875305624,0.007334963325183374,0.018948655256723717,0.005501222493887531,0.0024449877750611247,0.004278728606356968,0.02506112469437653,0.01589242053789731,0.028117359413202935,0.021393643031784843,0.011002444987775062,0.0,0.011613691931540342,0.013447432762836185,0.0006112469437652812,0.08190709046454768,0.011002444987775062,0.19132029339853301,0.0024449877750611247,0.017726161369193152,0.11858190709046455,0.06845965770171149,0.0006112469437652812,0.01039119804400978,0.23838630806845965,0.055623471882640586,0.06723716381418093,0.005501222493887531,0.003667481662591687,0.05806845965770171,1.7249388753056234,
std,0.12555851395173467,0.34135815119822494,9.769274249643258,2.1080849591335817,4.8984186045459115,12.44932978571663,2.074616031439843,105.91983096643295,3.183996821304032,0.48870664204190956,0.09534251609177934,0.38507713018653533,0.19538636022776262,0.1319946744368505,0.065291858987192,0.18187459063392597,0.024723408821707437,0.04279600125298307,0.09213802835157146,0.034953486018522634,0.034953486018522634,0.09534251609177935,0.07796680586567009,0.08535581379186803,0.07398854774410261,0.3122523842712306,0.049401432762219505,0.05521555661216644,0.15067099547217674,0.19100629502437766,0.09213802835157146,0.09213802835157146,0.024723408821707437,0.04940143276221951,0.12509763053614648,0.1544884126964783,0.17383979179278994,0.024723408821707437,0.13852451649246264,0.024723408821707437,0.1099221331918176,0.08535581379186803,0.13638538597992794,0.07398854774410261,0.049401432762219505,0.06529185898719199,0.15635858944715023,0.1250976305361465,0.16535866211292144,0.14473686446479142,0.10434580239376574,0.0,0.10717198688398476,0.11521594265962737,0.024723408821707434,0.27430696646610203,0.10434580239376574,0.3934608834031081,0.049401432762219505,0.1319946744368505,0.3233947512755405,0.2526102488440341,0.024723408821707437,0.10143722432644296,0.4262268421993072,0.2292632316654546,0.250508854587156,0.07398854774410261,0.060467066427429036,0.23394436769422813,1.9128125047214382,
min,0.0,0.0,0.0,0.0,0.0,11.0,3.9,0.002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,0.0,0.016625,0.240375,0.038,0.0018720000000000002,63.0,9.0,0.143,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50%,0.0,0.066,0.5662499999999999,0.12,0.0049914,71.0,10.2,0.656,0.02985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
75%,0.01995,0.178,1.2169999999999999,0.3165,1.2,77.3,11.5,101.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
max,3.75,7.6,357.2,76.0,170.0,102.0,19.6,975.0,30.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,
