,abs_bas,abs_eos,abs_lym,abs_mono,abs_neut,age,hgb,plt,wbc,gender_female,apc_positive,asxl1_positive,bcor_positive,bcorl1_positive,c7orf55_positive,cbl_positive,ccdc42b_positive,cdh23_positive,cebpa_positive,cftr_positive,csf1r_positive,cux1_positive,ddx41_positive,ddx54_positive,dhx29_positive,dnmt3a_positive,eed_positive,erbb4_positive,etv6_positive,ezh2_positive,flt3_positive,gata2_positive,gli1_positive,gnb1_positive,gpr98_positive,idh1_positive,idh2_positive,irf4_positive,jak2_positive,jak3_positive,kdm6a_positive,kit_positive,kras_positive,mecom_positive,med12_positive,mll_positive,nf1_positive,npm1_positive,nras_positive,phf6_positive,prpf8_positive,ptch1_positive,ptpn11_positive,rad21_positive,rnf25_positive,runx1_positive,setbp1_positive,sf3b1_positive,simc1_positive,smc3_positive,srsf2_positive,stag2_positive,stat3_positive,suz12_positive,tet2_positive,tp53_positive,u2af1_positive,u2af2_positive,wt1_positive,zrsr2_positive,mutation_num,diagnosis
mean,0.02425943519188991,0.15518623010130267,1.1709080563583787,0.33880180043383895,1.0162467090483096,68.78930317848442,10.38583333333331,67.43268638871857,2.2688287958435267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,1.7249388753056234,
std,0.12555851395173467,0.34135815119822494,9.769274249643258,2.1080849591335817,4.8984186045459115,12.44932978571663,2.074616031439843,105.91983096643295,3.183996821304032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,1.9128125047214382,
variance,0.01576494042576795,0.11652538738947021,95.43871936474285,4.444022194925235,23.994504825361513,154.9858121135313,4.304031677907204,11219.010591957729,10.137835758074178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,3.658851678218702,
min,0.0,0.0,0.0,0.0,0.0,11.0,3.9,0.002,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,0,
max,3.75,7.6,357.2,76.0,170.0,102.0,19.6,975.0,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,27,
5%,0.0,0.0,0.06457500000000001,0.0,0.0006636000000000001,44.1,7.300000000000001,0.037,0.0021174999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,0.0,
25%,0.0,0.016625,0.240375,0.038,0.0018720000000000002,63.0,9.0,0.143,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,0.0,
50%,0.0,0.066,0.5662499999999999,0.12,0.0049914,71.0,10.2,0.656,0.02985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,1.0,
75%,0.01995,0.178,1.2169999999999999,0.3165,1.2,77.3,11.5,101.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,3.0,
95%,0.1,0.540475,2.430199999999999,1.0196999999999996,4.372100000000005,84.3,14.244999999999981,287.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,5.0,
iqr,0.01995,0.161375,0.9766249999999999,0.2785,1.1981279999999999,14.299999999999997,2.5,100.857,3.7954999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,3.0,
kurtosis,599.1172604925788,181.6655224921766,1279.1050465645162,1203.1151820805214,1024.2873683617863,2.0402979984098284,0.398925793715486,8.077136094928456,8.073137892922533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,31.163274602385883,
skewness,21.945834296012872,10.411124372072138,35.227497475395154,33.59693395779484,29.919991639839772,-1.2361057141353002,0.46220474901647696,2.363841592510367,2.175442481928042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,3.5748448489897733,
sum,33.50228,214.46737000000002,1620.53675,468.56289,1409.53418545,112539.29999999999,16949.68,109982.7115,3711.80391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,2822,
mad,0.034222974358220914,0.15771350065238116,1.0667566120547785,0.3646668457862187,1.33141595346136,9.446106924874853,1.6208506944444456,77.11480378443187,2.4195089363406495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,1.3517076057651571,
cv,5.175656933419032,2.1996677860876748,8.343331653235449,6.222177557599041,4.820107716888119,0.18097769871886812,0.1997544120779762,1.5707490927449281,1.4033658366541735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,1.1089161083360286,
zeros_num,890,258,11,146,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,475,
zeros_perc,54.40%,15.77%,0.67%,8.92%,0.43%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,29.03%,
deviating_of_mean,262,276,254,254,252,0,8,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,13,
deviating_of_mean_perc,16.01%,16.87%,15.53%,15.53%,15.40%,0%,0.49%,2.26%,1.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,0.79%,
deviating_of_median,322,327,273,305,326,1,44,147,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,46,
deviating_of_median_perc,19.68%,19.99%,16.69%,18.64%,19.93%,0.06%,2.69%,8.99%,7.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,2.81%,
top_correlations,,,abs_mono: 96.30%,abs_lym: 96.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a constant value: 0,,,,,,,,,,,,,,,,,,,,
counts,1381,1382,1384,1383,1387,1636,1632,1631,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,This is a constant value: 0,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
uniques,180,508,823,580,808,424,140,696,571,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,This is a constant value: 0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,3
missing,255,254,252,253,249,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This is a constant value: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_perc,15.59%,15.53%,15.40%,15.46%,15.22%,0%,0.24%,0.31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,This is a constant value: 0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
