,CCUS,CMML,ET,ICUS,MDS,MDS_MPN,PMF,PV
0,jak2_positive,tet2_positive,sf3b1_positive,tet2_positive,jak2_positive,srsf2_positive,jak2_positive,jak2_positive
1,tet2_positive,asxl1_positive,asxl1_positive,asxl1_positive,sf3b1_positive,asxl1_positive,tet2_positive,sf3b1_positive
2,sf3b1_positive,jak2_positive,jak2_positive,sf3b1_positive,stag2_positive,sf3b1_positive,asxl1_positive,asxl1_positive
3,asxl1_positive,cbl_positive,srsf2_positive,jak2_positive,zrsr2_positive,tet2_positive,sf3b1_positive,tet2_positive
4,dnmt3a_positive,dnmt3a_positive,runx1_positive,dnmt3a_positive,asxl1_positive,jak2_positive,cbl_positive,srsf2_positive
5,stag2_positive,kras_positive,tet2_positive,srsf2_positive,tp53_positive,runx1_positive,runx1_positive,u2af1_positive
6,nras_positive,sf3b1_positive,zrsr2_positive,tp53_positive,u2af1_positive,bcor_positive,tp53_positive,dnmt3a_positive
7,srsf2_positive,nras_positive,u2af1_positive,u2af1_positive,srsf2_positive,ezh2_positive,dnmt3a_positive,runx1_positive
8,tp53_positive,runx1_positive,ezh2_positive,runx1_positive,idh1_positive,tp53_positive,kras_positive,tp53_positive
9,ezh2_positive,zrsr2_positive,cbl_positive,kras_positive,tet2_positive,dnmt3a_positive,idh1_positive,ezh2_positive
10,zrsr2_positive,bcorl1_positive,nras_positive,cbl_positive,cbl_positive,u2af1_positive,ezh2_positive,idh2_positive
11,u2af1_positive,stag2_positive,dnmt3a_positive,zrsr2_positive,idh2_positive,cbl_positive,srsf2_positive,cbl_positive
12,nf1_positive,srsf2_positive,idh2_positive,ezh2_positive,bcor_positive,zrsr2_positive,nras_positive,phf6_positive
13,phf6_positive,cux1_positive,kras_positive,nras_positive,gpr98_positive,smc3_positive,stag2_positive,npm1_positive
14,idh1_positive,nf1_positive,tp53_positive,npm1_positive,bcorl1_positive,kras_positive,u2af1_positive,bcorl1_positive
15,runx1_positive,u2af1_positive,gata2_positive,stag2_positive,etv6_positive,nras_positive,gata2_positive,setbp1_positive
16,npm1_positive,ezh2_positive,idh1_positive,bcor_positive,runx1_positive,setbp1_positive,bcor_positive,zrsr2_positive
17,cbl_positive,bcor_positive,stag2_positive,nf1_positive,kras_positive,gpr98_positive,zrsr2_positive,nras_positive
18,cux1_positive,smc3_positive,npm1_positive,idh1_positive,dnmt3a_positive,etv6_positive,nf1_positive,idh1_positive
19,smc3_positive,idh1_positive,nf1_positive,idh2_positive,nras_positive,gata2_positive,npm1_positive,smc3_positive
20,kras_positive,gata2_positive,phf6_positive,etv6_positive,nf1_positive,stag2_positive,phf6_positive,stag2_positive
21,idh2_positive,setbp1_positive,cux1_positive,dhx29_positive,npm1_positive,npm1_positive,idh2_positive,etv6_positive
22,gata2_positive,idh2_positive,setbp1_positive,erbb4_positive,smc3_positive,kdm6a_positive,setbp1_positive,ddx54_positive
23,bcorl1_positive,tp53_positive,smc3_positive,eed_positive,ezh2_positive,idh2_positive,kdm6a_positive,erbb4_positive
24,etv6_positive,etv6_positive,kdm6a_positive,flt3_positive,setbp1_positive,cux1_positive,etv6_positive,eed_positive
25,bcor_positive,phf6_positive,bcorl1_positive,csf1r_positive,kdm6a_positive,idh1_positive,bcorl1_positive,dhx29_positive
26,erbb4_positive,kdm6a_positive,bcor_positive,ddx54_positive,phf6_positive,phf6_positive,gpr98_positive,cebpa_positive
27,eed_positive,erbb4_positive,etv6_positive,ddx41_positive,cux1_positive,nf1_positive,cux1_positive,ddx41_positive
28,csf1r_positive,c7orf55_positive,erbb4_positive,cux1_positive,erbb4_positive,ccdc42b_positive,smc3_positive,cux1_positive
29,dhx29_positive,eed_positive,eed_positive,gli1_positive,eed_positive,ddx54_positive,c7orf55_positive,csf1r_positive
30,ddx54_positive,ccdc42b_positive,ccdc42b_positive,cftr_positive,c7orf55_positive,cebpa_positive,erbb4_positive,cftr_positive
31,ddx41_positive,csf1r_positive,dhx29_positive,cebpa_positive,ccdc42b_positive,dhx29_positive,eed_positive,gata2_positive
32,cftr_positive,dhx29_positive,ddx54_positive,cdh23_positive,dhx29_positive,c7orf55_positive,cftr_positive,cdh23_positive
33,cebpa_positive,cdh23_positive,cdh23_positive,ccdc42b_positive,ddx54_positive,ddx41_positive,cebpa_positive,ccdc42b_positive
34,cdh23_positive,ddx54_positive,ddx41_positive,c7orf55_positive,cdh23_positive,csf1r_positive,ddx54_positive,c7orf55_positive
35,ccdc42b_positive,ddx41_positive,csf1r_positive,bcorl1_positive,ddx41_positive,bcorl1_positive,ccdc42b_positive,bcor_positive
36,c7orf55_positive,cebpa_positive,c7orf55_positive,gata2_positive,csf1r_positive,eed_positive,ddx41_positive,flt3_positive
37,flt3_positive,flt3_positive,cebpa_positive,jak3_positive,cebpa_positive,erbb4_positive,csf1r_positive,jak3_positive
38,jak3_positive,cftr_positive,cftr_positive,gnb1_positive,cftr_positive,cdh23_positive,cdh23_positive,gli1_positive
39,gli1_positive,jak3_positive,jak3_positive,gpr98_positive,jak3_positive,cftr_positive,dhx29_positive,gnb1_positive
40,ptch1_positive,gli1_positive,flt3_positive,u2af2_positive,flt3_positive,jak3_positive,jak3_positive,u2af2_positive
41,u2af2_positive,gnb1_positive,gli1_positive,suz12_positive,gata2_positive,flt3_positive,flt3_positive,suz12_positive
42,suz12_positive,u2af2_positive,u2af2_positive,stat3_positive,u2af2_positive,ptch1_positive,ptch1_positive,stat3_positive
43,stat3_positive,suz12_positive,suz12_positive,smc3_positive,suz12_positive,u2af2_positive,u2af2_positive,simc1_positive
44,simc1_positive,stat3_positive,stat3_positive,simc1_positive,stat3_positive,suz12_positive,suz12_positive,rnf25_positive
45,setbp1_positive,simc1_positive,simc1_positive,setbp1_positive,simc1_positive,stat3_positive,stat3_positive,rad21_positive
46,rnf25_positive,rnf25_positive,rnf25_positive,rnf25_positive,rnf25_positive,simc1_positive,simc1_positive,ptpn11_positive
47,rad21_positive,rad21_positive,rad21_positive,rad21_positive,rad21_positive,rnf25_positive,rnf25_positive,ptch1_positive
48,ptpn11_positive,ptpn11_positive,ptpn11_positive,ptpn11_positive,ptpn11_positive,rad21_positive,rad21_positive,prpf8_positive
49,prpf8_positive,ptch1_positive,ptch1_positive,ptch1_positive,ptch1_positive,ptpn11_positive,ptpn11_positive,nf1_positive
50,gnb1_positive,prpf8_positive,prpf8_positive,prpf8_positive,prpf8_positive,prpf8_positive,prpf8_positive,mll_positive
51,mll_positive,npm1_positive,mll_positive,phf6_positive,mll_positive,gli1_positive,gli1_positive,med12_positive
52,med12_positive,mll_positive,med12_positive,mll_positive,med12_positive,mll_positive,mll_positive,mecom_positive
53,mecom_positive,med12_positive,mecom_positive,med12_positive,mecom_positive,med12_positive,med12_positive,kras_positive
54,kit_positive,mecom_positive,kit_positive,mecom_positive,kit_positive,mecom_positive,mecom_positive,kit_positive
55,kdm6a_positive,kit_positive,wt1_positive,kit_positive,wt1_positive,kit_positive,kit_positive,kdm6a_positive
56,wt1_positive,wt1_positive,irf4_positive,kdm6a_positive,irf4_positive,wt1_positive,wt1_positive,wt1_positive
57,irf4_positive,irf4_positive,gpr98_positive,wt1_positive,gnb1_positive,irf4_positive,irf4_positive,irf4_positive
58,gpr98_positive,gpr98_positive,gnb1_positive,irf4_positive,gli1_positive,gnb1_positive,gnb1_positive,gpr98_positive
59,apc_positive,apc_positive,apc_positive,apc_positive,apc_positive,apc_positive,apc_positive,apc_positive
