,CCUS,ICUS,MDS
0,abs_neut,mutation_num,wbc
1,mutation_num,wbc,abs_eos
2,wbc,abs_bas,abs_bas
3,abs_eos,abs_eos,mutation_num
4,age,plt,hgb
5,dnmt3a_positive,hgb,abs_neut
6,hgb,abs_neut,abs_mono
7,abs_bas,abs_lym,plt
8,abs_lym,age,abs_lym
9,abs_mono,abs_mono,age
10,tet2_positive,gender_female,gender_female
11,plt,asxl1_positive,asxl1_positive
12,asxl1_positive,u2af1_positive,dnmt3a_positive
13,stag2_positive,ezh2_positive,sf3b1_positive
14,srsf2_positive,dhx29_vus,tet2_positive
15,sf3b1_positive,etv6_vus,idh2_positive
16,gata2_vus,dnmt3a_positive,u2af1_positive
17,erbb4_positive,dnmt3a_vus,etv6_positive
18,ddx54_positive,eed_positive,ddx54_vus
19,ddx54_vus,erbb4_positive,dhx29_positive
20,dhx29_positive,etv6_positive,dhx29_vus
21,dhx29_vus,dhx29_positive,dnmt3a_vus
22,gli1_positive,gata2_positive,eed_positive
23,dnmt3a_vus,ezh2_vus,erbb4_positive
24,eed_positive,flt3_positive,gata2_vus
25,etv6_positive,flt3_vus,etv6_vus
26,gata2_positive,ddx54_positive,ezh2_positive
27,etv6_vus,gata2_vus,ezh2_vus
28,ezh2_positive,gli1_positive,flt3_positive
29,ezh2_vus,gnb1_positive,flt3_vus
30,flt3_positive,gpr98_positive,gata2_positive
31,ddx41_positive,ddx54_vus,ddx41_vus
32,flt3_vus,csf1r_positive,gli1_positive
33,ddx41_vus,ddx41_vus,ddx54_positive
34,cdh23_vus,ddx41_positive,cebpa_positive
35,cux1_vus,apc_positive,ddx41_positive
36,cux1_positive,apc_vus,cux1_vus
37,gender_female,bcor_positive,apc_positive
38,apc_positive,bcor_vus,apc_vus
39,apc_vus,bcorl1_positive,bcor_positive
40,bcor_positive,bcorl1_vus,bcor_vus
41,bcor_vus,c7orf55_positive,bcorl1_positive
42,bcorl1_positive,cbl_positive,bcorl1_vus
43,bcorl1_vus,cbl_vus,c7orf55_positive
44,c7orf55_positive,ccdc42b_positive,cbl_positive
45,cbl_positive,cdh23_positive,cbl_vus
46,cbl_vus,cdh23_vus,ccdc42b_positive
47,ccdc42b_positive,cebpa_positive,cdh23_positive
48,cdh23_positive,idh1_positive,cdh23_vus
49,gpr98_positive,cftr_positive,gpr98_positive
50,cebpa_positive,cux1_positive,cebpa_vus
51,cebpa_vus,cux1_vus,cftr_positive
52,cftr_positive,cebpa_vus,csf1r_positive
53,csf1r_positive,pt_num,cux1_positive
54,gnb1_positive,idh2_positive,gnb1_positive
55,pt_num,suz12_positive,pt_num
56,idh1_positive,setbp1_vus,idh1_positive
57,rnf25_positive,sf3b1_positive,runx1_positive
58,runx1_vus,sf3b1_vus,setbp1_positive
59,setbp1_positive,simc1_positive,setbp1_vus
60,setbp1_vus,smc3_positive,sf3b1_vus
61,sf3b1_vus,smc3_vus,simc1_positive
62,simc1_positive,srsf2_positive,smc3_positive
63,smc3_positive,stag2_positive,smc3_vus
64,smc3_vus,stag2_vus,srsf2_positive
65,stag2_vus,stat3_positive,stag2_positive
66,stat3_positive,tet2_positive,stag2_vus
67,suz12_positive,runx1_vus,stat3_positive
68,tet2_vus,tet2_vus,suz12_positive
69,tp53_positive,tp53_positive,tet2_vus
70,tp53_vus,tp53_vus,tp53_positive
71,u2af1_positive,u2af1_vus,tp53_vus
72,u2af1_vus,u2af2_positive,u2af1_vus
73,u2af2_positive,u2af2_vus,u2af2_positive
74,u2af2_vus,wt1_positive,u2af2_vus
75,wt1_positive,wt1_vus,wt1_positive
76,wt1_vus,zrsr2_positive,wt1_vus
77,zrsr2_positive,zrsr2_vus,zrsr2_positive
78,zrsr2_vus,setbp1_positive,zrsr2_vus
79,runx1_positive,runx1_positive,runx1_vus
80,rad21_vus,irf4_positive,rnf25_positive
81,idh2_positive,nf1_positive,irf4_positive
82,rad21_positive,jak2_positive,rad21_vus
83,irf4_positive,jak2_vus,jak2_positive
84,jak2_positive,jak3_positive,jak2_vus
85,jak2_vus,kdm6a_positive,jak3_positive
86,jak3_positive,kit_positive,kdm6a_positive
87,kdm6a_positive,kit_vus,kit_positive
88,kit_positive,kras_positive,kit_vus
89,kit_vus,mecom_positive,kras_positive
90,kras_positive,med12_positive,mecom_positive
91,mecom_positive,mll_positive,med12_positive
92,med12_positive,nf1_vus,mll_positive
93,mll_positive,rnf25_positive,nf1_positive
94,nf1_positive,npm1_positive,nf1_vus
95,nf1_vus,npm1_vus,npm1_positive
96,npm1_positive,nras_positive,npm1_vus
97,npm1_vus,phf6_positive,nras_positive
98,nras_positive,prpf8_positive,phf6_positive
99,phf6_positive,prpf8_vus,prpf8_positive
100,prpf8_positive,ptch1_positive,prpf8_vus
101,prpf8_vus,ptpn11_positive,ptch1_positive
102,ptch1_positive,rad21_positive,ptpn11_positive
103,ptpn11_positive,rad21_vus,rad21_positive
104,idh2_vus,idh2_vus,idh2_vus
